"Statewide Allocation Detail"
"August 2019 - August 2023"
"Report Date: 09/28/2023 19:14 PM",
"Municipality","Establishment","License Number","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","Net Terminal Income","NTI Tax","State Share","Municipality Share",
"Alhambra","Maedge's Mini Mart, LLC","120700552","5","5765822.2400","5257608.4200","508213.8200","1790873.0000","1282659.1800","508213.8200","172377.6700","146966.9400","25410.7300",
"Alhambra","Slots & Slices, Inc.","220700072","6","1224388.7400","1114024.1400","110364.6000","442776.0000","332410.6300","110365.3700","37524.5300","32006.2000","5518.3300",
"Alorton","Alorton Crossings L.L.C.","170702047","6","3332983.6300","3059556.0300","273427.6000","1242306.0000","968878.4000","273427.6000","91323.4400","77652.0400","13671.4000",
"Alorton","Good Fellas Tavern LLC","190702965","6","834846.9800","775546.5000","59300.4800","302319.0000","243018.1300","59300.8700","20162.5200","17197.4300","2965.0900",
"Alorton","Jacobo, Inc.","190701833","5","7894665.6200","7208749.4000","685916.2200","3161799.0000","2475876.8900","685922.1100","232892.8400","198596.7100","34296.1300",
"Alorton","Pilot Travel Centers LLC","121009156","6","47530198.3900","42623457.6600","4906740.7300","14824899.0000","9918275.7900","4906623.2100","1659589.8700","1414258.6800","245331.1900",
"Alorton","Valens Management, Inc.","210700567","6","7319745.3500","6649563.8900","670181.4600","2665205.0000","1995023.5000","670181.5000","227862.0100","194352.8900","33509.1200",
"Alpha","Alpha Haus LLC","220703345","3","51113.1100","47009.5100","4103.6000","20808.0000","16704.4000","4103.6000","1395.3200","1190.1300","205.1900",
"Alpha","GURAYA, INC.","190700599","5","6887114.4400","6255835.2800","631279.1600","2121072.0000","1489725.3100","631346.6900","214279.1400","182711.7800","31567.3600",
"Alpha","NUTTYPRISES, LLC","220703679","6","634471.9700","568409.3700","66062.6000","243221.0000","177158.4000","66062.6000","22461.3700","19158.2200","3303.1500",
"Alsey","Back Door Gaming And Collectibles, Inc.","180700007","6","11526801.3900","10592641.6600","934159.7300","3747560.0000","2813399.1500","934160.8500","316397.8700","269689.8400","46708.0300",
"Alsey","Grand Slam Bar & Grill, LLC","200702448","6","2914208.2300","2682763.1800","231445.0500","972557.0000","741111.7500","231445.2500","78691.7300","67119.4000","11572.3300",
"Alsip","5025 ALSIP, CORP.","210701554","5","9796988.5900","8898961.2100","898027.3800","2973904.0000","2075796.1300","898107.8700","305356.9800","260451.5600","44905.4200",
"Alsip","ALSIP BP INC.","200701804","5","20234298.2200","18646327.3100","1587970.9100","6793838.0000","5205867.0900","1587970.9100","539910.8700","460512.2500","79398.6200",
"Alsip","ALSIP MARATHON, INC.","190703587","6","25047461.2900","22702720.2600","2344741.0300","7373164.0000","5028296.5700","2344867.4300","797255.2400","680011.7900","117243.4500",
"Alsip","Alsip Memorial V.F.W. Post 450, Inc.","120907757","6","13663268.6300","12609995.1900","1053273.4400","4585639.0000","3532286.9100","1053352.0900","356149.8600","303482.2200","52667.6400",
"Alsip","ALSIP PARK DISTRICT","180701743","5","3858627.4000","3564558.7800","294068.6200","1209552.0000","915483.3800","294068.6200","99376.1000","84672.5800","14703.5200",
"Alsip","ALSIP RESTAURANT AND LOUNGE, INC.","130700172","6","23282211.2200","21462075.2300","1820135.9900","7044259.0000","5224037.0700","1820221.9300","616117.2100","525106.0600","91011.1500",
"Alsip","ALSIP SIMPLE MART INC.","190703588","6","16359787.7600","14814498.9300","1545288.8300","5912921.0000","4367632.1700","1545288.8300","525398.6400","448134.1700","77264.4700",
"Alsip","Beg Snake Johnson, LLC","120701150","6","13812800.9300","12703879.1800","1108921.7500","4083487.0000","2974565.2500","1108921.7500","375478.6700","320032.5500","55446.1200",
"Alsip","Blackhawk Restaurant Group, LLC Series APAlsip","130702143","6","45445150.2300","41732432.2700","3712717.9600","15470559.0000","11757841.0400","3712717.9600","1256746.1700","1071110.3100","185635.8600",
"Alsip","C.C.A.A., Incorporated","160701492","6","5731519.0200","5249306.8800","482212.1400","2258733.0000","1776521.2100","482211.7900","163146.0000","139035.3100","24110.6900",
"Alsip","Deuces Alsip LLC","200700651","6","18530661.1500","16846962.1700","1683698.9800","6651295.0000","4967596.0200","1683698.9800","572457.9400","488272.9300","84185.0100",
"Alsip","ELITE GROUP ENTERTAINMENT, INC.","200700388","6","25211288.3100","22956727.5900","2254560.7200","8769048.0000","6514487.2800","2254560.7200","766550.5200","653822.5000","112728.0200",
"Alsip","Illinois Café & Service Company, LLC","130704838","6","31140757.2700","28562790.2200","2577967.0500","10343625.0000","7765651.9600","2577973.0400","872834.3300","743935.6700","128898.6600",
"Alsip","IMPERIAL PLACE INC.","190701454","6","19017293.9200","17545785.7600","1471508.1600","6075777.0000","4604254.2800","1471522.7200","499083.5700","425507.3000","73576.2700",
"Alsip","Jokers Alsip, Inc.","210700233","5","1542223.7300","1389170.0600","153053.6700","609366.0000","456312.1500","153053.8500","52038.8400","44386.0500","7652.7900",
"Alsip","KATIE'S GAMING CAFE, INC.","200702498","6","21231046.8300","19471291.9400","1759754.8900","7533408.0000","5773639.5100","1759768.4900","598321.2800","510332.9000","87988.3800",
"Alsip","LENNY'S GAS N WASH 127TH AND KOSTNER, LLC","211003784","10","24709515.7400","22627968.6400","2081547.1000","8966005.0000","6884281.7600","2081723.2400","707786.2100","603700.0300","104086.1800",
"Alsip","MARD GAS STATION LLC","210700297","6","12935295.4000","11940131.2100","995164.1900","4568986.0000","3573821.8100","995164.1900","338356.2500","288598.0100","49758.2400",
"Alsip","NICK'S B.B.Q., INC.","170704232","6","14129086.0200","12910377.0700","1218708.9500","4996072.0000","3777362.7900","1218709.2100","412436.9600","351501.5000","60935.4600",
"Alsip","Pilot Travel Centers LLC","151003543","6","47384868.2200","42535453.5100","4849414.7100","16754124.0000","11904561.7800","4849562.2200","1643279.0500","1400800.8300","242478.2200",
"Alsip","Red Shoe Billiards, Inc.","120705741","6","13208831.8800","12113086.1400","1095745.7400","4385223.0000","3289477.4300","1095745.5700","370593.0100","315805.7000","54787.3100",
"Alsip","Simon Oil Inc.,","200700275","6","14031802.8500","12736054.0700","1295748.7800","4647767.0000","3352002.1500","1295764.8500","440560.5500","375772.2200","64788.3300",
"Alsip","Stella's - Quarry Plaza, LLC","150701416","6","32572537.9500","29633024.8400","2939513.1100","10094830.0000","7155308.3900","2939521.6100","995378.1300","848402.0500","146976.0800",
"Alsip","TARIQ, INC.","190703882","5","4596560.5300","4226891.1200","369669.4100","1622445.0000","1252775.5900","369669.4100","125688.1900","107204.6200","18483.5700",
"Alsip","The Idler Corporation","120701209","6","29914334.4200","27518996.0800","2395338.3400","9825168.0000","7429829.6600","2395338.3400","811652.3800","691885.3500","119767.0300",
"Alsip","Village Sportsmens Club","140703011","6","14025321.4300","12860966.0500","1164355.3800","4908065.0000","3743709.3800","1164355.6200","394420.0700","336202.1800","58217.8900",
"Alsip","Xiomara & Kamotas, Inc.","130704109","5","629411.1000","572804.7900","56606.3100","216452.0000","159845.6900","56606.3100","18679.9100","15849.6200","2830.2900",
"Altamont","Bella's Enterprises, LLC","180703961","6","9675434.4300","8947572.9600","727861.4700","3160260.0000","2432398.3000","727861.7000","246143.7800","209750.6600","36393.1200",
"Altamont","Fred and Scottmo Enterprises, LLC","170702964","5","3762336.7800","3462654.9800","299681.8000","1262720.0000","963037.8400","299682.1600","101594.1900","86610.0400","14984.1500",
"Altamont","MJC Altamont, Inc.","130704401","4","3559283.5900","3306685.9700","252597.6200","1005973.0000","753375.1700","252597.8300","85676.1000","73046.1700","12629.9300",
"Altamont","Ramsey Enterprises, LLC","160701987","3","1704690.2000","1597438.2200","107251.9800","364913.0000","257660.6400","107252.3600","36294.6400","30931.9500","5362.6900",
"Altamont","Sporty's Beverage Connection, LLC","160701484","6","1768054.5000","1624154.5700","143899.9300","484543.0000","340642.3900","143900.6100","47487.0700","40292.0500","7195.0200",
"Altamont","VFW Post 7676 Gieseking-Schwerdtfeger","120902193","5","3351924.9100","3061374.6300","290550.2800","943002.0000","652446.8700","290555.1300","98413.3900","83885.5200","14527.8700",
"Altamont","Whistle Stop Saloon LLC","160701144","6","6725111.6600","6210218.4500","514893.2100","1955749.0000","1440855.7900","514893.2100","174307.2800","148562.6300","25744.6500",
"Altamont","Wortman Holdings LLC","201001805","10","40874288.4500","37638864.6100","3235423.8400","12269274.0000","9033738.2800","3235535.7200","1099605.2900","937828.4500","161776.8400",
"Alto Pass","Dutys Country Store LLC","180703390","4","3979940.8200","3713544.3000","266396.5200","935865.0000","669468.4800","266396.5200","90405.3500","77085.5000","13319.8500",
"Alton","Alton KG Management LLC","150701239","3","2626628.1500","2419171.6300","207456.5200","785081.0000","577604.4800","207476.5200","69916.2900","59542.4100","10373.8800",
"Alton","Alton Owls' Club","120713090","5","6514959.4200","6108518.7700","406440.6500","1459045.0000","1052584.3500","406460.6500","137481.2300","117158.1200","20323.1100",
"Alton","Alton Post #126 American Legion","120911002","4","1606013.1500","1473691.7800","132321.3700","453940.0000","321618.6300","132321.3700","44809.7700","38193.6900","6616.0800",
"Alton","Alton Post 1308, Veterans of Foreign Wars of the United States","120901471","6","9453311.7600","8696664.0200","756647.7400","2708905.0000","1952212.2600","756692.7400","256057.9200","218223.1200","37834.8000",
